Run	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_81	40	1.0	250	50	0.1591	0.1591	0.1591	0.0594
run_82	25	10.0	100	5	0.1187	0.1187	0.1187	0.0372
run_83	40	0.1	750	50	0.1737	0.1737	0.1737	0.0760
run_84	10	0.001	100	25	0.1170	0.1170	0.1170	0.0350
run_85	55	0.01	500	25	0.1884	0.1884	0.1884	0.0737
run_86	10	0.001	100	10	0.1160	0.1160	0.1160	0.0347
run_87	55	0.1	750	25	0.1839	0.1839	0.1839	0.0777
run_88	40	0.01	500	10	0.1655	0.1655	0.1655	0.0656
run_89	10	10.0	100	50	0.1167	0.1167	0.1167	0.0349
run_90	40	0.01	750	50	0.1736	0.1736	0.1736	0.0757
run_91	40	10.0	1000	10	0.1348	0.1348	0.1348	0.0612
run_92	55	1.0	100	5	0.1208	0.1208	0.1208	0.0389
run_93	40	0.001	500	5	0.1390	0.1390	0.1390	0.0531
run_94	40	0.01	1000	50	0.1356	0.1356	0.1356	0.0646
run_95	40	1.0	500	10	0.1642	0.1642	0.1642	0.0654
run_96	25	10.0	500	25	0.1607	0.1607	0.1607	0.0665
run_97	40	1.0	100	25	0.1276	0.1276	0.1276	0.0418
run_98	25	10.0	750	50	0.1444	0.1444	0.1444	0.0645
run_99	25	0.01	250	10	0.1396	0.1396	0.1396	0.0504
run_100	55	10.0	100	50	0.1281	0.1281	0.1281	0.0421
run_101	10	1.0	750	5	0.0641	0.0641	0.0641	0.0213
run_102	55	10.0	1000	5	0.1320	0.1320	0.1320	0.0565
run_103	25	0.1	250	10	0.1391	0.1391	0.1391	0.0501
run_104	25	0.01	100	5	0.1180	0.1180	0.1180	0.0370
run_105	10	0.1	100	10	0.1162	0.1162	0.1162	0.0346
run_106	40	0.1	750	5	0.1297	0.1297	0.1297	0.0522
run_107	25	10.0	100	25	0.1253	0.1253	0.1253	0.0401
run_108	25	0.1	1000	5	0.0925	0.0925	0.0925	0.0395
run_109	55	0.1	100	25	0.1276	0.1276	0.1276	0.0418
run_110	10	0.01	1000	50	0.0508	0.0508	0.0508	0.0201
run_111	10	0.1	750	50	0.0770	0.0770	0.0770	0.0294
run_112	25	0.01	250	50	0.1490	0.1490	0.1490	0.0554
run_113	40	0.01	100	5	0.1195	0.1195	0.1195	0.0382
run_114	25	0.1	750	10	0.1333	0.1333	0.1333	0.0577
run_115	25	0.01	500	50	0.1634	0.1634	0.1634	0.0679
