Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_753	lmf	56	0.01536910192967213	394	93	0.0034	0.0034	0.0034	0.0004
run_754	lmf	39	0.0010147484973360478	768	25	0.0034	0.0034	0.0034	0.0004
run_755	lmf	26	0.0034214453915319986	876	32	0.0034	0.0034	0.0034	0.0004
run_756	lmf	46	0.0076492437534616976	456	88	0.0034	0.0034	0.0034	0.0004
run_757	bpr	16	0.007409365994822546	865	78	0.0810	0.0810	0.0810	0.0211
run_758	lmf	72	0.0025738492570209453	682	18	0.0034	0.0034	0.0034	0.0004
run_759	lmf	59	0.007402242911142025	899	5	0.0034	0.0034	0.0034	0.0004
run_760	lmf	13	0.01711981026712008	804	70	0.0034	0.0034	0.0034	0.0004
run_761	lmf	51	0.004583748748014216	612	16	0.0034	0.0034	0.0034	0.0004
run_762	bpr	18	0.00795270689198975	315	66	0.0814	0.0814	0.0814	0.0217
run_763	lmf	86	0.0009422120312205848	462	73	0.0034	0.0034	0.0034	0.0004
run_764	bpr	23	0.002766646020252549	396	39	0.0338	0.0338	0.0338	0.0085
run_765	bpr	23	0.0041958807757336595	882	93	0.0830	0.0830	0.0830	0.0220
run_766	bpr	13	0.008523769205494839	568	62	0.0806	0.0806	0.0806	0.0217
run_767	lmf	45	0.010220894550651923	331	42	0.0034	0.0034	0.0034	0.0004
run_768	lmf	58	0.0034130043949605854	986	63	0.0034	0.0034	0.0034	0.0004
run_769	bpr	94	0.0026208087492907406	544	64	0.0819	0.0819	0.0819	0.0217
run_770	lmf	51	0.005806971216863283	294	19	0.0034	0.0034	0.0034	0.0004
run_771	bpr	29	0.0022583932150617614	85	23	0.0818	0.0818	0.0818	0.0217
run_772	lmf	84	0.015529457422063651	697	79	0.0034	0.0034	0.0034	0.0004
run_773	bpr	95	0.006001888046734619	851	82	0.0802	0.0802	0.0802	0.0213
run_774	bpr	37	0.013901903208864455	699	30	0.0737	0.0737	0.0737	0.0193
run_775	bpr	39	0.026664678744497797	615	47	0.0664	0.0664	0.0664	0.0170
run_776	lmf	26	0.0011767417345763939	307	17	0.0034	0.0034	0.0034	0.0004
