Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_991	lmf	17	0.0043958825232352765	621	7	0.0034	0.0034	0.0034	0.0004
run_992	lmf	87	0.0140688902487221	470	49	0.0034	0.0034	0.0034	0.0004
run_993	lmf	94	0.009055840744235247	680	21	0.0034	0.0034	0.0034	0.0004
run_994	lmf	68	0.005473797234644342	330	6	0.0034	0.0034	0.0034	0.0004
run_995	lmf	93	0.00030533002379407265	921	78	0.0034	0.0034	0.0034	0.0004
run_996	lmf	16	0.005812602510199842	384	85	0.0034	0.0034	0.0034	0.0004
run_997	lmf	81	0.007789845804418962	124	63	0.0016	0.0016	0.0016	0.0003
run_998	bpr	42	0.014490029826687692	316	56	0.0755	0.0755	0.0755	0.0196
run_999	bpr	21	0.006615373752243676	859	7	0.0645	0.0645	0.0645	0.0169
run_1000	bpr	58	0.0011740735806216316	217	58	0.0839	0.0839	0.0839	0.0224
